year,county,state,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_male.1,sex_and_age_female.1,sex_and_age_65_years_and_over.1,sex_and_age_male.2,sex_and_age_female.2,race_total_population,race_one_race,race_two_or_more_races,race_one_race.1,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races.1,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_.1,hispanic_or_latino_and_race_hispanic_or_latino_of_.2,hispanic_or_latino_and_race_hispanic_or_latino_of_.3,hispanic_or_latino_and_race_hispanic_or_latino_of_.4,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino.1,hispanic_or_latino_and_race_not_hispanic_or_latino.2,hispanic_or_latino_and_race_not_hispanic_or_latino.3,hispanic_or_latino_and_race_not_hispanic_or_latino.4,hispanic_or_latino_and_race_not_hispanic_or_latino.5,hispanic_or_latino_and_race_not_hispanic_or_latino.6,hispanic_or_latino_and_race_not_hispanic_or_latino.7,hispanic_or_latino_and_race_not_hispanic_or_latino.8,hispanic_or_latino_and_race_not_hispanic_or_latino.9,total_housing_units
2010,Wheeler County,Georgia,7093,4657,2436,349,356,295,371,577,1430,940,1072,373,452,442,306,130,36.2,5861,5641,1100,878,5861,3969,1892,878,368,510,7093,7082,11,7082,3966,3046,16,0,0,0,0,36,0,0,36,0,0,0,13,309,0,0,0,0,0,0,18,11,11,0,0,0,7093,3977,3057,16,36,0,18,7093,49,31,8,0,10,7044,3948,3041,8,36,0,0,11,0,11,2094
2010,White County,Georgia,26498,13079,13419,1588,1590,1660,1743,1391,2588,3630,4019,1896,1991,2665,1291,446,42.9,20612,19629,5343,4402,20612,9961,10651,4402,2049,2353,26498,26205,293,26205,25480,565,83,9,25,0,0,38,0,16,0,0,22,0,13,311,0,39,39,0,0,0,0,293,60,191,0,0,26498,25731,667,274,38,39,42,26498,619,307,133,39,140,25879,24903,565,83,38,39,0,251,0,251,15014
2010,Whitfield County,Georgia,99910,50091,49819,8395,8204,7581,7357,6684,13763,14125,13103,6143,3908,6106,3098,1443,33.8,71200,66763,12982,10647,71200,35116,36084,10647,4532,6115,99910,97886,2024,97886,79642,3949,411,183,0,0,0,1219,244,49,91,118,109,257,13,313,351,0,0,0,0,0,12665,2024,560,295,334,0,99910,81619,4556,767,1618,0,13435,99910,30918,25894,992,569,3463,68992,62894,3704,274,1126,0,12,982,37,945,38747
2010,Wilcox County,Georgia,9041,5235,3806,421,507,562,628,537,1242,1443,1342,639,384,630,500,206,39.5,7218,6793,1605,1336,7218,4262,2956,1336,530,806,9041,8964,77,8964,5507,3330,44,0,0,15,0,45,10,0,17,9,0,9,13,315,0,0,0,0,0,0,38,77,12,9,38,0,9041,5584,3342,53,93,10,46,9041,97,51,19,0,27,8944,5445,3330,44,45,0,11,69,0,69,3491
2010,Wilkes County,Georgia,10580,5018,5562,604,602,670,813,456,1132,1422,1440,777,724,1044,687,209,43.0,8240,7712,2465,1940,8240,3919,4321,1940,804,1136,10580,10498,82,10498,5562,4704,80,76,0,0,0,0,0,0,0,0,0,0,13,317,0,0,0,0,0,0,152,82,56,26,0,0,10580,5644,4760,106,0,0,152,10580,311,145,0,0,166,10269,5498,4609,80,0,0,0,82,0,82,5169
2010,Wilkinson County,Georgia,9685,4642,5043,673,684,668,656,572,1063,1205,1491,567,653,865,429,159,40.2,7266,6882,1851,1453,7266,3399,3867,1453,598,855,9685,9644,41,9644,5693,3821,14,3,0,0,0,0,0,0,0,0,0,0,13,319,0,0,0,0,0,0,116,41,23,18,0,0,9685,5734,3844,32,0,0,116,9685,176,168,0,0,8,9509,5576,3821,14,0,0,57,41,0,41,4508
2010,Worth County,Georgia,21712,10449,11263,1520,1282,1702,1652,1386,2371,2819,3182,1413,1389,1787,759,450,39.2,16177,15365,3763,2996,16177,7680,8497,2996,1274,1722,21712,21502,210,21502,15175,6123,20,13,0,0,0,48,0,0,0,3,6,0,13,321,39,0,0,0,0,0,136,210,97,20,44,28,21712,15336,6269,68,92,0,157,21712,333,203,4,0,126,21379,15025,6043,16,48,0,37,210,21,189,9281
2010,Appling County,Georgia,18050,9161,8889,1165,1593,1108,1135,857,2351,2432,2801,1069,1205,1397,757,180,39.0,13361,12734,2845,2334,13361,6673,6688,2334,1000,1334,18050,18038,12,18038,12942,3510,15,0,0,0,0,183,183,0,0,0,0,0,13,1,0,0,0,0,0,0,1388,12,0,0,0,0,18050,12942,3522,15,195,0,1388,18050,1465,1449,0,0,16,16585,12786,3510,15,183,0,79,12,0,12,8438
2010,Atkinson County,Georgia,8332,3923,4409,768,870,533,673,491,1013,1222,1056,444,434,575,88,165,33.4,5815,5404,1103,828,5815,2908,2907,828,357,471,8332,8268,64,8268,5793,1657,4,2,0,0,0,0,0,0,0,0,0,0,13,3,0,0,0,0,0,0,814,64,64,0,0,0,8332,5857,1721,4,0,0,814,8332,1868,1763,11,0,94,6464,4760,1636,4,0,0,0,64,0,64,3481
2010,Bacon County,Georgia,10969,5418,5551,835,948,688,663,536,1573,1540,1477,614,676,859,436,124,35.8,8087,7696,1758,1419,8087,3896,4191,1419,539,880,10969,10929,40,10929,8513,1862,0,0,0,0,0,26,0,0,0,0,26,0,13,5,0,0,0,0,0,0,528,40,40,0,0,0,10969,8553,1902,0,26,0,528,10969,650,627,0,14,9,10319,8391,1862,0,26,0,0,40,0,40,4759
