year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over.1,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more.1,race_race_alone_or_in_combination_with_one_or_more.2,race_race_alone_or_in_combination_with_one_or_more.3,race_race_alone_or_in_combination_with_one_or_more.4,race_race_alone_or_in_combination_with_one_or_more.5,race_race_alone_or_in_combination_with_one_or_more.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units
2014,Waukesha County,Wisconsin,392511,192752,199759,20621,25215,27435,27027,19264,40992,49167,65788,31058,25572,32092,19419,8861,42.7,301805,288184,75301,60372,301805,146456,155349,60372,26363,34009,392511,386269,6242,386269,365554,5121,615,0,111,6,7,10972,4714,2302,684,333,743,753,55,133,1443,92,36,18,0,38,3915,6242,1305,1303,2090,226,392511,371061,6972,2313,13585,420,4659,392511,17225,12322,1882,165,2856,375286,352872,4980,497,10958,54,367,5558,304,5254,161622
2014,Walworth County,Wisconsin,102920,51459,51461,5642,5899,7540,7700,8890,11501,12352,15129,7379,6216,8089,4450,2133,38.7,79652,73621,18156,14672,79652,39460,40192,14672,6600,8072,102920,101254,1666,101254,96486,1004,195,8,23,0,9,858,198,185,195,28,55,112,55,127,85,82,0,7,58,17,2629,1666,299,412,305,20,102920,98094,1512,845,1197,125,3027,102920,11020,9761,558,70,631,91900,88460,947,145,858,82,245,1163,22,1141,51598
2014,Crawford County,Wisconsin,16525,8515,8010,852,887,1124,1055,815,1734,1738,2522,1436,1145,1826,902,489,45.3,12966,12417,3894,3217,12966,6677,6289,3217,1502,1715,16525,16456,69,16456,16106,260,35,0,4,0,0,32,14,1,8,0,3,0,55,23,6,0,0,0,0,0,23,69,10,19,4,0,16525,16175,277,61,36,16,36,16525,170,109,30,0,31,16355,16009,233,35,32,0,3,43,0,43,8804
2014,Juneau County,Wisconsin,26607,14019,12588,1425,1485,1653,1533,1380,2958,3183,4245,1877,1964,2725,1605,574,44.1,21062,20231,6002,4904,21062,11173,9889,4904,2291,2613,26607,26325,282,26325,25115,575,426,0,40,1,13,88,0,56,19,0,9,0,55,57,4,7,0,7,0,0,114,282,99,54,87,4,26607,25393,681,489,175,14,145,26607,743,558,120,11,54,25864,24552,557,409,88,7,0,251,0,251,14744
2014,Sauk County,Wisconsin,62681,31223,31458,3807,4458,3862,4034,3210,7734,7862,9270,4561,3840,5359,2949,1735,40.2,47999,45730,12280,10043,47999,23600,24399,10043,4365,5678,62681,61659,1022,61659,59171,330,748,42,34,18,0,462,18,171,24,23,48,62,55,111,116,2,0,2,0,0,946,1022,293,244,58,5,62681,59955,746,1080,718,4,1283,62681,2880,2540,183,13,144,59801,57659,316,671,462,0,28,665,3,662,29794
2014,Washington County,Wisconsin,132526,65697,66829,7482,8898,9377,8590,6246,14490,17399,22674,9713,8411,10521,5784,2941,41.6,101167,96690,23976,19246,101167,49864,51303,19246,8496,10750,132526,130759,1767,130759,127150,1392,150,0,56,0,0,1483,682,308,62,21,7,46,55,131,357,6,0,6,0,0,578,1767,452,547,389,0,132526,128907,1876,722,1911,33,898,132526,3722,2781,251,115,575,128804,124332,1375,150,1480,6,40,1421,17,1404,55129
2014,Chippewa County,Wisconsin,63051,32666,30385,3754,4088,4295,3794,3258,8100,7913,9634,4839,3799,5155,3034,1388,40.5,48486,46535,11754,9577,48486,25185,23301,9577,4399,5178,63051,62079,972,62079,60064,882,187,6,68,0,0,790,18,79,69,10,6,33,55,17,575,3,3,0,0,0,153,972,284,335,187,48,63051,60967,1251,612,1005,28,201,63051,872,751,66,16,39,62179,59410,864,187,790,3,42,883,0,883,27373
2014,Dane County,Wisconsin,502984,249102,253882,30414,31041,28911,33636,50666,80066,65344,67553,31762,27865,31200,16557,7969,34.6,395519,367044,71797,55726,395519,193962,201557,55726,24316,31410,502984,489261,13723,489261,427117,25851,1162,58,153,0,17,26220,5325,7474,872,611,2500,725,55,25,8713,99,4,74,21,0,8812,13723,5341,2162,2719,618,502984,439401,33054,4633,29563,528,10542,502984,30662,22020,2447,622,5573,472322,408186,24970,946,26085,97,336,11702,359,11343,218696
2014,Douglas County,Wisconsin,43901,21841,22060,2513,2374,2757,2831,2908,5737,5174,6578,3510,2868,3657,2046,948,40.3,34667,32692,8254,6651,34667,17173,17494,6651,3061,3590,43901,42741,1160,42741,40817,509,826,20,570,0,7,485,84,82,62,11,35,23,55,31,188,2,0,2,0,0,102,1160,330,729,54,0,43901,41977,850,1568,545,8,138,43901,557,459,44,10,44,43344,40483,509,766,485,2,2,1097,2,1095,22853
2014,Jackson County,Wisconsin,20543,11003,9540,1241,1301,1249,1198,1086,2525,2558,3145,1476,1343,1911,1099,411,42.5,15983,15347,4226,3421,15983,8678,7305,3421,1660,1761,20543,20019,524,20019,18244,446,1102,0,63,2,6,89,1,2,14,2,4,0,55,53,66,0,0,0,0,0,138,524,48,402,24,14,20543,18733,510,1542,128,0,159,20543,606,452,86,23,45,19937,17881,443,1069,89,0,10,445,2,443,9764
