year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_total_population_sex_ratio_males_per_1,sex_and_age_total_population_under_5_years,sex_and_age_total_population_5_to_9_years,sex_and_age_total_population_10_to_14_years,sex_and_age_total_population_15_to_19_years,sex_and_age_total_population_20_to_24_years,sex_and_age_total_population_25_to_34_years,sex_and_age_total_population_35_to_44_years,sex_and_age_total_population_45_to_54_years,sex_and_age_total_population_55_to_59_years,sex_and_age_total_population_60_to_64_years,sex_and_age_total_population_65_to_74_years,sex_and_age_total_population_75_to_84_years,sex_and_age_total_population_85_years_and_over,sex_and_age_total_population_median_age_years,sex_and_age_total_population_under_18_years,sex_and_age_total_population_16_years_and_over,sex_and_age_total_population_18_years_and_over,sex_and_age_total_population_21_years_and_over,sex_and_age_total_population_62_years_and_over,sex_and_age_total_population_65_years_and_over,sex_and_age_total_population_18_years_and_over.1,sex_and_age_total_population_18_years_and_over_mal,sex_and_age_total_population_18_years_and_over_fem,sex_and_age_total_population_18_years_and_over_sex,sex_and_age_total_population_65_years_and_over.1,sex_and_age_total_population_65_years_and_over_mal,sex_and_age_total_population_65_years_and_over_fem,sex_and_age_total_population_65_years_and_over_sex,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_total_population_one_race.1,race_total_population_one_race_white,race_total_population_one_race_black_or_african_am,race_total_population_one_race_american_indian_and,race_total_population_one_race_american_indian_and.1,race_total_population_one_race_american_indian_and.2,race_total_population_one_race_american_indian_and.3,race_total_population_one_race_american_indian_and.4,race_total_population_one_race_asian,race_total_population_one_race_asian_asian_indian,state_fips,county_fips,race_total_population_one_race_asian_chinese,race_total_population_one_race_asian_filipino,race_total_population_one_race_asian_japanese,race_total_population_one_race_asian_korean,race_total_population_one_race_asian_vietnamese,race_total_population_one_race_asian_other_asian,race_total_population_one_race_native_hawaiian_and,race_total_population_one_race_native_hawaiian_and.1,race_total_population_one_race_native_hawaiian_and.2,race_total_population_one_race_native_hawaiian_and.3,race_total_population_one_race_native_hawaiian_and.4,race_total_population_one_race_some_other_race,race_total_population_two_or_more_races.1,race_total_population_two_or_more_races_white_and_,race_total_population_two_or_more_races_white_and_.1,race_total_population_two_or_more_races_white_and_.2,race_total_population_two_or_more_races_white_and_.3,race_total_population_two_or_more_races_black_or_a,race_total_population_two_or_more_races_black_or_a.1,race_alone_or_in_combination_with_one_or_more_othe,race_alone_or_in_combination_with_one_or_more_othe.1,race_alone_or_in_combination_with_one_or_more_othe.2,race_alone_or_in_combination_with_one_or_more_othe.3,race_alone_or_in_combination_with_one_or_more_othe.4,race_alone_or_in_combination_with_one_or_more_othe.5,race_alone_or_in_combination_with_one_or_more_othe.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units,citizen_voting_age_population_citizen_18_and_over_,citizen_voting_age_population_citizen_18_and_over_.1,citizen_voting_age_population_citizen_18_and_over_.2
2022,Sunflower County,Mississippi,25867,13798,12069,114.3,1407,1396,1679,1809,1955,4137,3439,3275,1710,1331,2277,1009,443,36.7,5543,20800,20324,19118,4611,3729,20324,11045,9279,119.0,3729,1554,2175,71.4,25867,25239,628,25239,6096,19027,34,0,16,0,0,16,0,28,133,0,9,0,0,7,0,0,0,0,0,0,66,628,81,133,0,395,4,15,25867,6705,19127,171,16,0,476,25867,486,399,83,0,4,25381,6096,19017,34,16,0,33,185,15,170,9426,20127,10880,9247
2022,Tallahatchie County,Mississippi,12621,6735,5886,114.4,736,565,856,718,1025,1515,2180,1360,900,688,1247,642,189,37.7,2573,10281,10048,9511,2496,2078,10048,5507,4541,121.3,2078,900,1178,76.4,12621,12378,243,12378,4441,7764,3,0,0,0,0,8,2,28,135,0,0,0,0,6,0,0,0,0,0,0,162,243,82,50,0,27,48,6,12621,4621,7930,122,38,0,200,12621,240,7,73,4,156,12381,4403,7755,1,8,0,19,195,27,168,5486,9865,5343,4522
2022,Tate County,Mississippi,28094,13587,14507,93.7,1647,2080,1485,3057,1546,3367,3168,3478,1862,1803,2956,1138,507,38.3,6388,22445,21706,19315,5764,4601,21706,10375,11331,91.6,4601,2063,2538,81.3,28094,27520,574,27520,18805,8556,14,8,0,0,0,10,0,28,137,8,2,0,0,0,0,19,16,3,0,0,116,574,348,121,1,65,0,0,28094,19379,8904,135,13,58,183,28094,946,830,29,7,80,27148,18043,8542,14,10,19,13,507,0,507,11397,21461,10258,11203
2022,Tippah County,Mississippi,21769,10594,11175,94.8,1125,1144,1965,1802,1470,2271,2654,2935,1370,1375,2249,1114,295,39.6,5180,17150,16589,15299,4518,3658,16589,7949,8640,92.0,3658,1568,2090,75.0,21769,20748,1021,20748,16782,3166,13,2,0,0,0,0,0,28,139,0,0,0,0,0,0,9,0,0,0,9,778,1021,248,92,4,267,200,0,21769,17487,3783,358,155,76,1045,21769,1034,637,91,4,302,20735,16776,3166,3,0,9,81,700,3,697,9891,16244,7835,8409
2022,Tishomingo County,Mississippi,18837,9169,9668,94.8,994,1056,1227,1137,1007,2179,2086,2595,1168,1460,2275,1292,361,43.6,4057,15268,14780,14075,4936,3928,14780,7032,7748,90.8,3928,1707,2221,76.9,18837,17915,922,17915,17303,253,82,3,0,0,0,121,95,28,141,18,2,0,0,0,6,0,0,0,0,0,156,922,42,207,17,656,0,0,18837,18225,295,289,138,0,812,18837,663,610,6,0,47,18174,17138,249,82,121,0,75,509,243,266,10522,14446,6995,7451
2022,Tunica County,Mississippi,9787,4835,4952,97.6,869,837,663,609,620,1515,1369,903,449,692,931,280,50,33.2,2791,7255,6996,6726,1726,1261,6996,3190,3806,83.8,1261,555,706,78.6,9787,9748,39,9748,1792,7887,0,0,0,0,0,0,0,28,143,0,0,0,0,0,0,0,0,0,0,0,69,39,0,0,0,31,8,0,9787,1823,7895,8,0,0,100,9787,129,94,0,0,35,9658,1792,7858,0,0,0,0,8,0,8,4637,6979,3184,3795
2022,Union County,Mississippi,27880,13752,14128,97.3,1781,2200,1802,1791,1794,3619,3425,3516,1396,1923,2768,1410,455,38.6,6985,21621,20895,19997,5644,4633,20895,10208,10687,95.5,4633,2094,2539,82.5,27880,27279,601,27279,21610,4374,50,47,0,0,0,69,0,28,145,0,59,10,0,0,0,0,0,0,0,0,1176,601,125,70,163,186,18,0,27880,22193,4556,177,232,0,1362,27880,1270,1205,0,0,65,26610,21529,4374,47,69,0,154,437,22,415,12132,20350,9847,10503
2022,Walthall County,Mississippi,13888,6957,6931,100.4,762,690,1102,1077,934,1120,2021,1546,876,999,1672,796,293,40.0,3194,11098,10694,10111,3479,2761,10694,5123,5571,92.0,2761,1217,1544,78.8,13888,13345,543,13345,7338,5681,49,0,0,0,0,23,13,28,147,0,0,0,0,0,10,0,0,0,0,0,254,543,15,71,0,58,23,290,13888,7568,6085,219,33,0,612,13888,330,287,25,0,18,13558,7320,5681,49,23,0,0,485,290,195,6882,10607,5086,5521
2022,Warren County,Mississippi,44341,21320,23021,92.6,2696,2649,3274,3062,2589,5241,5490,5333,2858,3331,4864,2218,736,39.9,10519,35148,33822,32056,10009,7818,33822,15891,17931,88.6,7818,3501,4317,81.1,44341,42958,1383,42958,20868,21588,36,0,0,0,0,286,142,28,149,7,21,0,15,0,101,13,0,4,9,0,167,1383,347,143,130,407,33,0,44341,22106,21987,524,427,13,878,44341,954,648,47,33,226,43387,20745,21576,36,280,9,71,670,0,670,21533,33451,15757,17694
2022,Washington County,Mississippi,44604,21015,23589,89.1,3040,2986,3381,3103,2714,5383,5161,5173,2916,3135,4881,1971,760,37.9,11303,34675,33301,31625,9348,7612,33301,15278,18023,84.8,7612,3282,4330,75.8,44604,44116,488,44116,10978,32149,19,8,0,0,0,364,233,28,151,112,19,0,0,0,0,1,1,0,0,0,605,488,243,40,1,97,3,66,44604,11369,32499,72,403,11,778,44604,785,746,3,0,36,43819,10854,32075,19,364,1,60,446,131,315,20927,33188,15227,17961
2022,Wayne County,Mississippi,19760,9600,10160,94.5,1301,787,1940,1398,1729,1852,2370,2219,1529,1210,2182,940,303,38.8,4842,15472,14918,13857,4078,3425,14918,7124,7794,91.4,3425,1532,1893,80.9,19760,19096,664,19096,11280,7487,0,0,0,0,0,8,1,28,153,0,0,0,0,7,0,0,0,0,0,0,321,664,130,25,19,476,14,0,19760,11930,7631,39,27,0,797,19760,723,248,0,0,475,19037,11280,7487,0,8,0,74,188,0,188,9086,14460,6756,7704
2022,Webster County,Mississippi,9942,4754,5188,91.6,622,624,703,791,447,1117,1151,1239,605,767,1099,600,177,40.1,2357,7802,7585,7049,2404,1876,7585,3625,3960,91.5,1876,799,1077,74.2,9942,9843,99,9843,7874,1838,12,0,0,0,0,80,9,28,155,59,8,4,0,0,0,0,0,0,0,0,39,99,36,20,12,28,0,0,9942,7973,1874,32,92,3,67,9942,157,87,2,0,68,9785,7772,1838,12,80,0,5,78,26,52,5064,7567,3619,3948
