year,county,state,sex_and_age_total_population,sex_and_age_male,sex_and_age_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_male.1,sex_and_age_female.1,sex_and_age_65_years_and_over.1,sex_and_age_male.2,sex_and_age_female.2,race_total_population,race_one_race,race_two_or_more_races,race_one_race.1,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races.1,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_white,race_black_or_african_american,race_american_indian_and_alaska_native,race_asian,race_native_hawaiian_and_other_pacific_islander,race_some_other_race,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_hispanic_or_latino_of_,hispanic_or_latino_and_race_hispanic_or_latino_of_.1,hispanic_or_latino_and_race_hispanic_or_latino_of_.2,hispanic_or_latino_and_race_hispanic_or_latino_of_.3,hispanic_or_latino_and_race_hispanic_or_latino_of_.4,hispanic_or_latino_and_race_not_hispanic_or_latino,hispanic_or_latino_and_race_not_hispanic_or_latino.1,hispanic_or_latino_and_race_not_hispanic_or_latino.2,hispanic_or_latino_and_race_not_hispanic_or_latino.3,hispanic_or_latino_and_race_not_hispanic_or_latino.4,hispanic_or_latino_and_race_not_hispanic_or_latino.5,hispanic_or_latino_and_race_not_hispanic_or_latino.6,hispanic_or_latino_and_race_not_hispanic_or_latino.7,hispanic_or_latino_and_race_not_hispanic_or_latino.8,hispanic_or_latino_and_race_not_hispanic_or_latino.9,total_housing_units
2011,Coosa County,Alabama,11303,5775,5528,550,656,666,679,637,1075,1655,1841,962,781,1075,529,197,43.7,8950,8559,2149,1801,8950,4373,4577,1801,818,983,11303,11212,91,11212,7604,3598,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0,0,0,0,10,91,31,60,0,0,11303,7695,3629,60,0,0,10,11303,196,196,0,0,0,11107,7418,3598,0,0,0,0,91,0,91,6469
2011,Dale County,Alabama,49920,24643,25277,3683,3684,3009,3273,3532,7140,6204,6862,3254,2606,3838,2103,732,36.0,37520,35631,8204,6673,37520,18274,19246,6673,2850,3823,49920,48565,1355,48565,37367,9884,137,31,11,0,0,683,41,44,161,105,167,54,1,45,111,58,14,0,0,44,436,1355,495,539,108,67,49920,38597,10494,785,845,109,478,49920,2712,1423,828,48,413,47208,35347,9611,115,648,58,201,1228,6,1222,22645
2011,Hale County,Alabama,15972,7618,8354,937,991,1308,1344,874,1783,1861,2473,1330,724,1277,765,305,39.5,11936,11217,2785,2347,11936,5602,6334,2347,978,1369,15972,15903,69,15903,6379,9436,30,21,2,0,0,58,0,0,26,0,0,32,1,65,0,0,0,0,0,0,0,69,4,39,0,5,15972,6426,9466,78,75,0,0,15972,54,40,0,2,12,15918,6337,9424,30,58,0,0,69,0,69,7694
2011,Etowah County,Alabama,104216,50481,53735,6248,6611,6776,7213,6128,12271,13973,14799,6925,6921,8891,5229,2231,39.9,80098,76112,20194,16351,80098,37945,42153,16351,6734,9617,104216,102751,1465,102751,85609,15687,346,240,0,0,7,663,59,190,87,71,14,79,1,55,163,84,0,84,0,0,362,1465,619,520,119,44,104216,86943,16451,924,851,84,442,104216,3371,1800,94,71,1406,100845,82881,15634,346,663,47,16,1258,5,1253,47440
2011,DeKalb County,Alabama,70608,35007,35601,5086,5033,5129,4658,4100,9234,9294,9878,4305,4164,5650,3127,950,37.3,52268,49675,12311,9727,52268,25526,26742,9727,4157,5570,70608,69193,1415,69193,64659,1180,1044,497,23,11,0,213,0,6,78,18,0,0,1,49,111,5,5,0,0,0,2092,1415,297,903,27,11,70608,66030,1560,2011,275,62,2138,70608,9100,6626,285,208,1981,61508,58091,1114,855,213,5,20,1210,29,1181,30942
2011,Escambia County,Alabama,38081,19566,18515,2381,2229,2565,2775,2087,5062,5093,5506,2590,2173,3238,1631,751,38.6,29229,27641,7042,5620,29229,15239,13990,5620,2387,3233,38081,37790,291,37790,23975,12088,1423,58,0,0,0,141,0,33,0,0,0,62,1,53,46,14,0,14,0,0,149,291,107,93,36,29,38081,24227,12224,1545,187,17,172,38081,733,555,13,7,158,37348,23439,12073,1423,138,14,12,249,0,249,16529
2011,Lamar County,Alabama,14644,7058,7586,868,1007,884,841,806,1481,1832,2196,1130,1004,1515,855,225,42.6,11318,10853,3125,2595,11318,5407,5911,2595,1125,1470,14644,14522,122,14522,12744,1762,4,4,0,0,0,3,0,3,0,0,0,0,1,75,0,0,0,0,0,0,9,122,78,34,10,0,14644,12866,1840,38,13,0,9,14644,179,174,0,0,5,14465,12574,1762,4,3,0,0,122,0,122,7379
2011,Randolph County,Alabama,22838,11237,11601,1338,1411,1627,1700,1355,2263,3000,3284,1722,1312,2094,1345,387,40.3,17479,16426,4491,3826,17479,8407,9072,3826,1619,2207,22838,22625,213,22625,17581,4833,95,21,0,0,0,12,0,0,12,0,0,0,1,111,0,0,0,0,0,0,104,213,57,15,0,117,22838,17677,5007,227,12,0,128,22838,601,503,41,0,57,22237,17196,4786,39,12,0,0,204,15,189,11877
2011,Butler County,Alabama,20860,9790,11070,1348,1393,1410,1407,1206,2490,2396,3016,1487,1256,1778,1274,399,40.0,15824,15126,4137,3451,15824,7157,8667,3451,1357,2094,20860,20714,146,20714,11428,9091,30,4,0,0,0,164,0,80,0,0,9,34,1,13,41,0,0,0,0,0,1,146,44,51,0,0,20860,11528,9181,81,164,5,47,20860,91,25,0,0,66,20769,11338,9091,30,164,0,0,146,46,100,9987
2011,Mobile County,Alabama,410520,197159,213361,28180,27527,29503,30349,29133,53280,51822,59674,26504,22131,29220,16911,6286,36.4,306677,289333,64901,52417,306677,144080,162597,52417,21655,30762,410520,405221,5299,405221,250378,141914,3043,519,0,0,41,7519,1191,702,419,138,301,2714,1,97,2054,26,0,15,0,11,2341,5299,1401,1981,835,303,410520,255007,144146,5543,8594,145,2670,410520,9430,4375,792,689,3574,401090,243565,141738,2902,7519,11,325,5030,163,4867,177126
2011,Perry County,Alabama,10620,4980,5640,706,740,744,989,623,1340,1057,1432,700,573,957,561,198,37.1,7972,7265,2081,1716,7972,3642,4330,1716,712,1004,10620,10504,116,10504,3181,7286,0,0,0,0,0,31,0,12,15,0,0,0,1,105,4,0,0,0,0,0,6,116,0,14,0,0,10620,3297,7388,116,31,0,6,10620,25,15,0,0,10,10595,3162,7286,0,31,0,0,116,0,116,4795
2011,Walker County,Alabama,67308,32757,34551,4016,4486,4039,4275,3829,7811,8911,9943,4180,5041,6155,3417,1205,41.2,52062,49580,13792,10777,52062,24884,27178,10777,4554,6223,67308,66052,1256,66052,61733,3658,191,26,0,0,0,176,0,33,10,23,30,23,1,127,57,0,0,0,0,0,294,1256,474,447,7,11,67308,62871,4294,811,293,100,349,67308,1294,974,72,0,248,66014,60898,3628,112,176,0,32,1168,3,1165,30996
2011,Cleburne County,Alabama,14881,7395,7486,939,995,962,1044,772,1639,2063,2150,965,1005,1380,750,217,40.6,11302,10760,2915,2347,11302,5560,5742,2347,1054,1293,14881,14686,195,14686,14077,552,38,23,0,0,0,2,0,0,2,0,0,0,1,29,0,0,0,0,0,0,17,195,70,79,5,0,14881,14272,655,150,7,0,25,14881,294,282,3,0,9,14587,13822,552,38,2,0,0,173,8,165,6704
2011,Conecuh County,Alabama,13286,6555,6731,798,826,926,1030,884,1162,1389,1987,1030,889,1262,801,302,43.1,10178,9593,2974,2365,10178,4827,5351,2365,1037,1328,13286,12912,374,12912,6874,5903,135,0,118,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0,0,0,0,374,0,41,0,328,13286,6920,6236,509,0,0,0,13286,31,31,0,0,0,13255,6843,5903,135,0,0,0,374,0,374,7099
2011,Greene County,Alabama,9170,4355,4815,547,503,796,942,489,912,910,1329,579,727,768,530,138,41.5,6881,6359,1650,1436,6881,3172,3709,1436,619,817,9170,9155,15,9155,1644,7489,22,21,0,0,0,0,0,0,0,0,0,0,1,63,0,0,0,0,0,0,0,15,0,15,0,0,9170,1659,7489,37,0,0,0,9170,0,0,0,0,0,9170,1644,7489,22,0,0,0,15,0,15,5020
2011,Barbour County,Alabama,27546,14649,12897,1669,1837,1540,1743,1833,3836,3675,3967,1852,1668,2195,1259,472,38.3,21413,20512,4800,3926,21413,11461,9952,3926,1676,2250,27546,26955,591,26955,13576,12632,92,3,0,0,0,147,0,0,0,0,18,110,1,5,19,0,0,0,0,0,508,591,141,94,27,172,27546,13956,13016,446,203,0,576,27546,1344,1174,108,0,62,26202,12941,12571,92,37,0,20,541,18,523,11903
2011,Bibb County,Alabama,22746,11848,10898,1307,1689,1439,1427,1593,2735,3363,3690,1240,1393,1685,941,244,39.1,17383,16680,3594,2870,17383,9134,8249,2870,1220,1650,22746,22690,56,22690,17437,5153,77,20,0,0,0,12,0,0,0,0,0,0,1,7,12,0,0,0,0,0,11,56,3,18,0,35,22746,17458,5191,130,12,0,11,22746,375,312,52,0,11,22371,17084,5142,77,12,0,0,56,0,56,8933
2011,Bullock County,Alabama,10877,5948,4929,671,514,721,787,647,1400,1589,1745,693,663,724,445,278,41.2,8493,8085,1787,1447,8493,4496,3997,1447,619,828,10877,10770,107,10770,3115,7619,18,0,0,0,0,0,0,0,0,0,0,0,1,11,0,18,0,0,18,0,0,107,0,34,0,40,10877,3177,7692,120,0,23,0,10877,684,684,0,0,0,10193,2431,7619,18,0,18,0,107,0,107,4520
2011,Calhoun County,Alabama,117614,56539,61075,7205,7586,7554,8417,8746,14806,14866,16938,8160,6549,9261,5761,1765,38.4,90673,84773,20345,16787,90673,42747,47926,16787,6870,9917,117614,115494,2120,115494,88450,24103,330,257,4,0,2,762,219,80,150,91,164,0,1,15,58,82,7,59,0,16,1767,2120,652,729,205,84,117614,90285,25047,1180,1234,232,1939,117614,3720,2564,380,86,690,113894,86884,23919,328,724,82,50,1907,35,1872,53208
2011,Clarke County,Alabama,26046,12586,13460,1524,1509,2235,2352,1207,2643,3405,3843,1755,1484,2322,1250,517,39.7,19458,18120,4913,4089,19458,9027,10431,4089,1741,2348,26046,25846,200,25846,14327,10872,492,24,0,0,0,107,9,0,58,0,40,0,1,25,0,0,0,0,0,0,48,200,20,87,0,87,26046,14434,10985,666,113,0,48,26046,287,221,24,0,42,25759,14088,10872,492,107,0,0,200,0,200,12648
