year,county,state,sex_and_age_total_population,sex_and_age_total_population_male,sex_and_age_total_population_female,sex_and_age_under_5_years,sex_and_age_5_to_9_years,sex_and_age_10_to_14_years,sex_and_age_15_to_19_years,sex_and_age_20_to_24_years,sex_and_age_25_to_34_years,sex_and_age_35_to_44_years,sex_and_age_45_to_54_years,sex_and_age_55_to_59_years,sex_and_age_60_to_64_years,sex_and_age_65_to_74_years,sex_and_age_75_to_84_years,sex_and_age_85_years_and_over,sex_and_age_median_age_years,sex_and_age_18_years_and_over,sex_and_age_21_years_and_over,sex_and_age_62_years_and_over,sex_and_age_65_years_and_over,sex_and_age_18_years_and_over.1,sex_and_age_18_years_and_over_male,sex_and_age_18_years_and_over_female,sex_and_age_65_years_and_over.1,sex_and_age_65_years_and_over_male,sex_and_age_65_years_and_over_female,race_total_population,race_total_population_one_race,race_total_population_two_or_more_races,race_one_race,race_one_race_white,race_one_race_black_or_african_american,race_one_race_american_indian_and_alaska_native,race_one_race_american_indian_and_alaska_native_ch,race_one_race_american_indian_and_alaska_native_ch.1,race_one_race_american_indian_and_alaska_native_na,race_one_race_american_indian_and_alaska_native_si,race_one_race_asian,race_one_race_asian_asian_indian,race_one_race_asian_chinese,race_one_race_asian_filipino,race_one_race_asian_japanese,race_one_race_asian_korean,race_one_race_asian_vietnamese,state_fips,county_fips,race_one_race_asian_other_asian,race_one_race_native_hawaiian_and_other_pacific_is,race_one_race_native_hawaiian_and_other_pacific_is.1,race_one_race_native_hawaiian_and_other_pacific_is.2,race_one_race_native_hawaiian_and_other_pacific_is.3,race_one_race_native_hawaiian_and_other_pacific_is.4,race_one_race_some_other_race,race_two_or_more_races,race_two_or_more_races_white_and_black_or_african_,race_two_or_more_races_white_and_american_indian_a,race_two_or_more_races_white_and_asian,race_two_or_more_races_black_or_african_american_a,race_race_alone_or_in_combination_with_one_or_more,race_race_alone_or_in_combination_with_one_or_more.1,race_race_alone_or_in_combination_with_one_or_more.2,race_race_alone_or_in_combination_with_one_or_more.3,race_race_alone_or_in_combination_with_one_or_more.4,race_race_alone_or_in_combination_with_one_or_more.5,race_race_alone_or_in_combination_with_one_or_more.6,hispanic_or_latino_and_race_total_population,hispanic_or_latino_and_race_total_population_hispa,hispanic_or_latino_and_race_total_population_hispa.1,hispanic_or_latino_and_race_total_population_hispa.2,hispanic_or_latino_and_race_total_population_hispa.3,hispanic_or_latino_and_race_total_population_hispa.4,hispanic_or_latino_and_race_total_population_not_h,hispanic_or_latino_and_race_total_population_not_h.1,hispanic_or_latino_and_race_total_population_not_h.2,hispanic_or_latino_and_race_total_population_not_h.3,hispanic_or_latino_and_race_total_population_not_h.4,hispanic_or_latino_and_race_total_population_not_h.5,hispanic_or_latino_and_race_total_population_not_h.6,hispanic_or_latino_and_race_total_population_not_h.7,hispanic_or_latino_and_race_total_population_not_h.8,hispanic_or_latino_and_race_total_population_not_h.9,total_housing_units
2013,Perry County,Alabama,10390,4908,5482,719,571,786,984,749,1187,954,1393,583,709,992,483,280,35.8,7912,7131,2256,1755,7912,3619,4293,1755,729,1026,10390,10285,105,10285,3142,7097,0,0,0,0,0,25,0,12,12,0,0,0,1,105,1,0,0,0,0,0,21,105,73,7,25,0,10390,3247,7170,7,50,0,21,10390,67,27,0,0,40,10323,3109,7097,0,25,0,0,92,0,92,4708
2013,Walker County,Alabama,66622,32394,34228,3894,4116,4232,4183,4055,7400,8537,9730,4316,5007,6547,3501,1104,41.8,51710,49290,14330,11152,51710,24780,26930,11152,4773,6379,66622,65234,1388,65234,60778,3644,183,37,0,0,0,210,104,19,27,12,15,16,1,127,17,0,0,0,0,0,419,1388,604,505,0,70,66622,62023,4440,853,260,46,487,66622,1404,996,209,0,199,65218,60032,3566,67,210,0,15,1328,17,1311,30716
2013,Cleburne County,Alabama,14945,7387,7558,902,918,1136,956,818,1572,2006,2135,952,1033,1489,778,250,41.3,11377,10829,3119,2517,11377,5555,5822,2517,1137,1380,14945,14779,166,14779,14143,530,34,18,0,0,0,47,0,0,39,0,0,0,1,29,8,0,0,0,0,0,25,166,41,66,0,17,14945,14292,615,144,47,0,40,14945,320,315,0,0,5,14625,13871,530,34,47,0,0,143,6,137,6685
2013,Conecuh County,Alabama,13104,6352,6752,788,870,818,833,836,1290,1396,1889,980,965,1377,712,350,43.2,10085,9730,3049,2439,10085,4789,5296,2439,1085,1354,13104,12768,336,12768,6836,5856,68,0,68,0,0,8,8,0,0,0,0,0,1,35,0,0,0,0,0,0,0,336,0,84,0,230,13104,6922,6108,384,8,20,0,13104,191,150,38,0,3,12913,6693,5856,68,8,0,0,288,0,288,7069
2013,Greene County,Alabama,8934,4196,4738,537,403,741,815,423,966,861,1313,693,710,748,568,156,42.4,6813,6399,1743,1472,6813,3142,3671,1472,625,847,8934,8854,80,8854,1583,7217,39,38,0,0,0,15,0,0,0,0,15,0,1,63,0,0,0,0,0,0,0,80,0,0,0,0,8934,1663,7250,72,15,0,47,8934,47,47,0,0,0,8887,1583,7217,39,15,0,0,33,0,33,4985
2013,Barbour County,Alabama,27321,14634,12687,1591,1730,1577,1598,1837,3786,3670,3872,1932,1624,2396,1244,464,38.3,21432,20460,4992,4104,21432,11567,9865,4104,1787,2317,27321,26832,489,26832,12960,12675,55,0,0,0,0,152,0,0,0,0,0,131,1,5,21,0,0,0,0,0,990,489,128,105,9,118,27321,13289,12977,376,203,0,1021,27321,1339,942,97,0,300,25982,12653,12652,55,53,0,111,458,0,458,11790
2013,Bibb County,Alabama,22754,12343,10411,1290,1472,1359,1641,1652,2659,3447,3460,1202,1482,1823,966,301,39.4,17695,16781,3983,3090,17695,9508,8187,3090,1382,1708,22754,22536,218,22536,17461,4937,105,68,0,0,0,25,0,0,17,0,0,0,1,7,8,0,0,0,0,0,8,218,147,40,0,17,22754,17648,5115,162,39,0,8,22754,443,184,46,0,213,22311,17034,4929,105,25,0,0,218,0,218,8939
2013,Bullock County,Alabama,10746,5873,4873,679,672,604,470,811,1254,1957,1376,578,841,821,485,198,39.6,8437,8218,1973,1504,8437,4597,3840,1504,637,867,10746,10657,89,10657,3001,7614,4,0,0,0,0,6,6,0,0,0,0,0,1,11,0,32,0,0,32,0,0,89,0,40,0,20,10746,3058,7663,81,6,44,0,10746,611,611,0,0,0,10135,2390,7614,4,6,32,0,89,0,89,4468
2013,Calhoun County,Alabama,117714,56778,60936,7042,7901,7250,8101,8875,14732,14496,16499,8319,6970,9739,5979,1811,38.7,91077,84977,21539,17529,91077,43018,48059,17529,7290,10239,117714,115629,2085,115629,88358,24385,314,252,0,0,3,854,55,102,184,67,231,21,1,15,194,24,4,0,0,20,1694,2085,751,719,162,32,117714,90235,25336,1117,1196,178,1890,117714,3953,2940,463,56,494,113761,86504,24214,314,854,24,10,1841,40,1801,53192
2013,Clarke County,Alabama,25573,12068,13505,1487,1366,2137,1871,1473,2761,3192,3791,1833,1436,2404,1242,580,40.3,19361,18230,5118,4226,19361,8980,10381,4226,1815,2411,25573,25408,165,25408,13798,11336,137,0,0,0,0,26,0,0,0,0,26,0,1,25,0,68,68,0,0,0,43,165,41,9,0,115,25573,13848,11492,261,26,68,43,25573,118,81,16,0,21,25455,13723,11336,137,26,68,0,165,0,165,12584
2013,Fayette County,Alabama,17110,8372,8738,937,1009,1167,1083,940,1813,1899,2584,1223,1262,1804,1058,331,43.5,13400,12807,4048,3193,13400,6431,6969,3193,1384,1809,17110,16835,275,16835,14813,1952,36,23,0,0,0,34,0,16,0,0,0,0,1,57,18,0,0,0,0,0,0,275,140,76,0,1,17110,15083,2099,123,38,0,48,17110,229,130,55,0,44,16881,14652,1945,23,34,0,0,227,0,227,8393
2013,Marshall County,Alabama,93699,46136,47563,6578,6480,6365,6305,5841,11463,12091,12884,6104,5377,8210,4320,1681,38.4,70370,66975,17379,14211,70370,34211,36159,14211,6072,8139,93699,91973,1726,91973,87150,1469,780,272,0,0,7,494,84,97,85,1,19,16,1,95,192,7,7,0,0,0,2073,1726,692,590,135,31,93699,88667,2335,1500,727,15,2249,93699,11594,7990,150,5,3449,82105,78195,1458,529,494,7,3,1419,18,1401,40225
2013,Blount County,Alabama,57623,28604,29019,3631,3693,4175,3972,3306,6763,7696,8088,3456,4039,5342,2578,884,39.6,43625,41536,11361,8804,43625,21368,22257,8804,3900,4904,57623,56644,979,56644,54890,818,197,59,0,0,0,58,2,18,9,0,24,0,1,9,5,0,0,0,0,0,681,979,302,515,87,0,57623,55807,1134,712,193,48,708,57623,4800,4434,123,14,229,52823,50953,780,101,58,0,34,897,14,883,23767
2013,Madison County,Alabama,339279,166315,172964,20818,21970,22017,24380,24398,45241,43901,54114,21321,18400,24136,14002,4581,37.4,260216,244633,53277,42719,260216,125969,134247,42719,18435,24284,339279,330208,9071,330208,234776,81606,2204,1231,9,0,0,8448,2193,1638,928,376,1315,1113,1,89,885,356,149,167,28,12,2818,9071,2188,2270,1681,527,339279,242466,85707,5800,10931,665,4017,339279,15561,9950,2771,208,2632,323718,224119,80794,2135,8368,305,280,7717,207,7510,148684
2013,Autauga County,Alabama,54907,26793,28114,3489,3905,4398,4183,3236,6540,7995,8274,3301,2641,4284,1965,696,37.5,40515,38202,8442,6945,40515,19410,21105,6945,2969,3976,54907,54152,755,54152,42997,10076,138,34,0,21,16,525,4,171,28,16,205,69,1,1,32,15,0,15,0,0,401,755,232,308,138,13,54907,43690,10330,471,709,15,456,54907,1365,704,462,14,185,53542,41994,10002,138,525,0,128,755,55,700,22220
2013,Geneva County,Alabama,26791,13058,13733,1554,1538,1817,1622,1481,3044,3338,3897,2001,1712,2722,1564,501,41.9,20837,19935,5834,4787,20837,9991,10846,4787,2058,2729,26791,26339,452,26339,23304,2554,32,0,0,0,0,28,0,28,0,0,0,0,1,61,0,0,0,0,0,0,421,452,85,327,0,10,26791,23723,2651,390,28,0,451,26791,923,787,13,20,103,25868,22612,2518,32,28,0,268,410,2,408,12639
2013,St. Clair County,Alabama,84521,42281,42240,5483,5540,5642,5066,4844,11157,11977,12488,5348,5350,7259,3387,980,38.9,64574,62104,14645,11626,64574,31981,32593,11626,5243,6383,84521,83755,766,83755,74696,7688,347,122,0,0,0,576,130,82,147,15,16,144,1,115,42,10,0,0,0,10,438,766,261,329,145,0,84521,75458,7965,707,736,10,442,84521,1816,1450,98,8,260,82705,73421,7606,347,576,10,34,711,0,711,35469
2013,Baldwin County,Alabama,187114,91413,95701,11284,12386,11546,11801,10034,21445,23806,27002,12570,12883,18970,9842,3545,41.5,144462,138223,40089,32357,144462,69724,74738,32357,14933,17424,187114,184417,2697,184417,161737,17733,1157,173,0,0,0,1331,214,457,273,39,37,131,1,3,180,5,0,0,0,5,2454,2697,768,1145,408,44,187114,164140,18584,2384,1974,33,2736,187114,8322,5489,552,312,1969,178792,156039,17642,1109,1331,5,116,2550,141,2409,104648
2013,Houston County,Alabama,102326,49077,53249,6698,7014,6997,6517,6103,13079,13312,14480,7064,5840,8580,4982,1660,38.6,77443,74039,18509,15222,77443,36294,41149,15222,6475,8747,102326,100380,1946,100380,71505,26349,327,57,0,6,5,900,148,118,42,68,138,310,1,69,76,3,3,0,0,0,1296,1946,875,550,142,113,102326,73174,27520,1024,1118,100,1389,102326,3146,2108,307,127,604,99180,69826,26220,299,883,0,117,1835,23,1812,45486
2013,Tuscaloosa County,Alabama,196824,95196,101628,11757,11153,12078,17900,26740,27702,22608,23615,11883,9674,11947,6911,2856,31.4,154919,136947,26924,21714,154919,73904,81015,21714,9079,12635,196824,195168,1656,195168,131877,59287,324,97,0,0,0,2653,698,756,150,60,364,34,1,125,591,4,0,4,0,0,1023,1656,480,560,255,40,196824,133395,59944,948,3068,95,1136,196824,6133,4064,424,137,1508,190691,126497,59154,299,2653,4,529,1555,9,1546,85488
2013,Coffee County,Alabama,50468,25029,25439,3328,3016,3742,3219,3146,6760,6852,6807,3341,2814,4158,2396,889,37.8,38346,36432,8953,7443,38346,18737,19609,7443,3192,4251,50468,48930,1538,48930,38896,8563,419,32,0,2,0,732,31,107,94,3,416,26,1,31,55,0,0,0,0,0,320,1538,422,670,178,42,50468,40327,9101,1201,1074,60,380,50468,3217,1769,341,68,1039,47251,36326,8464,312,706,0,72,1371,4,1367,22486
2013,Pike County,Alabama,32977,15721,17256,1819,2034,1612,2932,5324,3966,3471,3862,1771,1889,2477,1398,422,31.6,26374,23000,5307,4297,26374,12450,13924,4297,1837,2460,32977,32380,597,32380,19429,12010,256,32,0,0,4,643,105,286,35,0,154,30,1,109,33,0,0,0,0,0,42,597,149,84,41,35,32977,19820,12396,492,761,0,199,32977,754,439,277,4,34,32223,18904,12003,256,643,0,0,417,0,417,15350
2013,Chambers County,Alabama,34145,16324,17821,2001,1988,2166,2082,2152,3845,4313,4984,2447,2314,3248,1865,740,42.4,26603,25456,7067,5853,26603,12467,14136,5853,2398,3455,34145,33872,273,33872,19881,13737,30,15,0,0,0,186,9,0,41,2,124,0,1,17,10,13,0,0,0,13,25,273,128,100,14,13,34145,20123,13878,143,218,13,43,34145,174,120,0,0,54,33971,19788,13734,30,186,13,0,220,18,202,16928
2013,Montgomery County,Alabama,228980,108931,120049,15785,14995,15841,17200,18638,32685,28920,30431,13960,12370,15316,9326,3513,34.8,172641,160999,34883,28155,172641,80252,92389,28155,11450,16705,228980,225851,3129,225851,91811,126372,637,279,0,7,0,4861,812,536,459,180,1734,419,1,101,721,80,31,32,17,0,2090,3129,1181,357,260,241,228980,93987,128340,1439,5706,216,2647,228980,7971,4851,812,163,2145,221009,86718,125733,521,4861,80,158,2938,453,2485,102137
2013,Henry County,Alabama,17308,8255,9053,947,1080,1026,1112,981,1676,2250,2372,1272,1369,1867,983,373,42.7,13511,13101,4089,3223,13511,6382,7129,3223,1408,1815,17308,17213,95,17213,11992,4741,0,0,0,0,0,338,196,79,0,0,11,52,1,67,0,0,0,0,0,0,142,95,5,71,0,0,17308,12087,4746,71,338,0,161,17308,408,274,25,28,81,16900,11745,4741,0,338,0,0,76,0,76,8885
2013,Tallapoosa County,Alabama,41428,20017,21411,2418,2496,2547,2560,2388,4516,5061,6003,2964,3080,4289,2350,756,42.0,32330,30974,9286,7395,32330,15371,16959,7395,3263,4132,41428,41094,334,41094,29333,11415,113,18,0,0,0,6,0,0,2,0,0,0,1,123,4,0,0,0,0,0,227,334,62,150,0,47,41428,29545,11583,326,22,0,286,41428,1030,882,44,2,102,40398,28693,11258,97,6,0,10,334,59,275,22041
2013,Wilcox County,Alabama,11531,5440,6091,636,837,998,849,712,1162,1321,1615,794,791,1010,561,245,39.0,8497,8139,2330,1816,8497,3884,4613,1816,733,1083,11531,11519,12,11519,3112,8402,0,0,0,0,0,0,0,0,0,0,0,0,1,131,0,0,0,0,0,0,5,12,0,12,0,0,11531,3124,8402,12,0,0,5,11531,18,11,0,0,7,11513,3106,8395,0,0,0,0,12,0,12,5621
2013,Monroe County,Alabama,22778,10992,11786,1398,1124,2004,1638,1332,2257,2861,3264,1567,1561,2093,1178,501,40.4,17170,16339,4505,3772,17170,8104,9066,3772,1594,2178,22778,22524,254,22524,12572,9522,211,0,0,0,0,78,4,0,63,3,0,0,1,99,8,0,0,0,0,0,141,254,42,182,30,0,22778,12826,9564,393,108,0,141,22778,233,141,0,0,92,22545,12480,9522,211,78,0,0,254,0,254,11288
2013,Lawrence County,Alabama,34009,16615,17394,2015,2452,1946,2185,2112,3779,4556,5292,2547,2069,3104,1515,437,41.2,26266,24898,6275,5056,26266,12708,13558,5056,2247,2809,34009,32220,1789,32220,26379,3726,1895,1510,0,0,0,52,0,10,17,0,4,0,1,79,21,0,0,0,0,0,168,1789,312,1090,28,165,34009,27951,4220,3228,215,28,245,34009,633,427,4,0,202,33376,26058,3722,1877,52,0,26,1641,39,1602,15164
2013,Lee County,Alabama,144405,71463,72942,8669,9237,8590,13054,21885,20369,17938,17079,7178,6880,8184,3862,1480,29.9,112488,98930,17474,13526,112488,55081,57407,13526,5984,7542,144405,142246,2159,142246,102363,33267,378,177,18,0,3,4211,704,1082,96,93,1650,259,1,81,327,46,27,0,0,19,1981,2159,624,672,321,128,144405,104048,34394,1388,4819,98,2057,144405,5076,2190,859,97,1930,139329,99838,32786,267,4194,46,267,1931,0,1931,63295
2013,Marion County,Alabama,30615,15242,15373,1703,1701,1927,1809,1724,3337,3856,4516,1968,2298,3375,1712,689,43.5,24136,23109,7299,5776,24136,11825,12311,5776,2558,3218,30615,30191,424,30191,28766,1253,25,25,0,0,0,81,69,5,7,0,0,0,1,93,0,0,0,0,0,0,66,424,125,205,9,16,30615,29158,1394,246,148,0,135,30615,683,554,54,0,75,29932,28244,1215,25,81,0,1,366,11,355,14698
2013,Pickens County,Alabama,19516,9293,10223,1162,1072,1426,1320,1210,2074,2202,2967,1449,1251,1873,1135,375,42.1,15012,14355,4204,3383,15012,6969,8043,3383,1446,1937,19516,19246,270,19246,11149,8063,7,4,0,0,0,0,0,0,0,0,0,0,1,107,0,0,0,0,0,0,27,270,104,69,0,26,19516,11339,8264,102,17,0,81,19516,349,200,149,0,0,19167,10912,8063,7,0,0,0,185,15,170,9438
2013,Sumter County,Alabama,13552,6108,7444,718,795,796,1435,1536,1179,1428,1797,843,965,1062,713,285,37.2,10646,9444,2601,2060,10646,4690,5956,2060,784,1276,13552,13519,33,13519,3361,9912,51,0,0,0,0,137,3,101,0,0,0,0,1,119,33,0,0,0,0,0,58,33,28,0,0,0,13552,3391,9943,51,137,2,61,13552,112,49,8,0,55,13440,3311,9910,51,137,0,0,31,3,28,6761
2013,Jefferson County,Alabama,658552,311746,346806,43768,41823,42582,43056,45835,94100,83406,92542,45254,37991,46275,29411,12509,37.2,504706,478440,109792,88195,504706,233379,271327,88195,35226,52969,658552,652443,6109,652443,350375,278565,1276,637,0,14,0,9712,3301,3027,667,227,435,1075,1,73,980,63,26,22,12,3,12452,6109,1710,2035,1130,518,658552,355686,281130,3960,11066,139,12843,658552,25048,19064,982,433,4569,633504,338647,277535,1187,9631,42,921,5541,81,5460,301587
2013,Choctaw County,Alabama,13687,6631,7056,716,740,983,995,650,1283,1662,2073,958,1013,1516,724,374,44.2,10678,10177,3298,2614,10678,5012,5666,2614,1134,1480,13687,13517,170,13517,7621,5888,0,0,0,0,0,8,0,0,0,0,8,0,1,23,0,0,0,0,0,0,0,170,21,95,0,11,13687,7769,5957,132,8,0,17,13687,39,15,14,0,10,13648,7615,5861,0,8,0,0,164,11,153,7244
2013,Franklin County,Alabama,31666,15598,16068,2246,2219,2169,1935,2039,3812,4343,4419,2030,1594,2836,1564,460,38.3,23883,22605,5744,4860,23883,11635,12248,4860,2083,2777,31666,31415,251,31415,27962,1485,194,97,0,0,0,26,0,0,5,10,0,0,1,59,11,15,0,0,0,15,1733,251,84,85,13,2,31666,28197,1585,281,39,15,1800,31666,4766,2947,16,33,1770,26900,25137,1330,194,26,15,0,198,14,184,13990
2013,Marengo County,Alabama,20669,9715,10954,1230,1123,1612,1445,1285,2099,2465,2990,1351,1449,2016,1199,405,41.8,15765,14942,4438,3620,15765,7242,8523,3620,1522,2098,20669,20582,87,20582,9629,10765,13,13,0,0,0,42,2,0,0,0,1,39,1,91,0,0,0,0,0,0,133,87,34,16,0,8,20669,9708,10820,66,71,0,133,20669,389,48,0,0,341,20280,9470,10668,13,42,0,0,87,0,87,10215
2013,Russell County,Alabama,55544,26831,28713,4235,3240,4150,3873,3982,8153,7005,7584,3505,2869,3993,2191,764,35.2,41445,39180,8657,6948,41445,19520,21925,6948,2779,4169,55544,54416,1128,54416,29925,23219,97,72,0,5,0,400,18,0,63,10,4,244,1,113,61,124,17,33,45,29,651,1128,423,361,109,31,55544,31015,23714,523,509,163,782,55544,2359,1342,714,0,303,53185,28462,23059,95,400,107,0,1062,112,950,25385
2013,Cherokee County,Alabama,26034,12909,13125,1382,1386,1585,1543,1361,2582,3166,4026,2166,1996,3058,1372,411,45.0,20693,19904,6050,4841,20693,10194,10499,4841,2171,2670,26034,25714,320,25714,24216,1257,126,26,0,0,0,73,0,0,17,21,0,0,1,19,35,4,4,0,0,0,38,320,105,173,7,16,26034,24501,1390,322,87,4,50,26034,357,157,17,27,156,25677,23940,1214,126,73,4,0,320,12,308,16180
