"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"        Other languages","363,304","±9,165","1.9%","±0.1"
"            Speak English less than ""very well""","113,440","±4,711","0.6%","±0.1"
"ANCESTRY","","","",""
"    Total population","19,852,366","*****","19,852,366","(X)"
"        American","836,205","±12,712","4.2%","±0.1"
"        Arab","196,462","±6,507","1.0%","±0.1"
"        Czech","40,489","±2,143","0.2%","±0.1"
"        Danish","28,598","±1,733","0.1%","±0.1"
"        Dutch","164,577","±4,779","0.8%","±0.1"
"        English","1,110,804","±10,374","5.6%","±0.1"
"        French (except Basque)","319,779","±6,122","1.6%","±0.1"
"        French Canadian","98,834","±2,822","0.5%","±0.1"
"        German","1,706,078","±14,847","8.6%","±0.1"
"        Greek","137,189","±4,590","0.7%","±0.1"
"        Hungarian","151,471","±5,225","0.8%","±0.1"
"        Irish","2,087,330","±14,860","10.5%","±0.1"
"        Italian","2,163,906","±16,192","10.9%","±0.1"
"        Lithuanian","37,903","±1,730","0.2%","±0.1"
"        Norwegian","74,047","±2,996","0.4%","±0.1"
"        Polish","775,254","±11,108","3.9%","±0.1"
"        Portuguese","50,734","±3,111","0.3%","±0.1"
"        Russian","300,662","±6,334","1.5%","±0.1"
"        Scotch-Irish","61,174","±2,499","0.3%","±0.1"
"        Scottish","195,519","±4,979","1.0%","±0.1"
"        Slovak","27,683","±1,985","0.1%","±0.1"
"        Subsaharan African","294,560","±8,566","1.5%","±0.1"
"        Swedish","97,601","±2,577","0.5%","±0.1"
"        Swiss","32,076","±1,884","0.2%","±0.1"
"        Ukrainian","153,866","±4,885","0.8%","±0.1"
"        Welsh","63,400","±2,317","0.3%","±0.1"
"        West Indian (excluding Hispanic origin groups)","751,510","±9,113","3.8%","±0.1"
"COMPUTERS AND INTERNET USE","","","",""
"    Total households","7,722,646","±12,717","7,722,646","(X)"
"        With a computer","7,313,188","±14,186","94.7%","±0.1"
"        With a broadband Internet subscription","7,015,754","±16,423","90.8%","±0.1"
