"Label (Grouping)","New York!!2024 Estimate","New York!!2023 Estimate","New York!!2024 - 2023 Statistical Significance","New York!!2022 Estimate","New York!!2024 - 2022 Statistical Significance","New York!!2021 Estimate","New York!!2024 - 2021 Statistical Significance","New York!!2020 Estimate","New York!!2024 - 2020 Statistical Significance"
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        Lacking complete plumbing facilities","0.4%","0.4%","","0.4%","","0.4%","","(X)",""
"        Lacking complete kitchen facilities","0.9%","0.8%","","0.8%","","0.7%","*","(X)",""
"        No telephone service available","0.8%","1.0%","*","1.0%","*","0.9%","","(X)",""
"OCCUPANTS PER ROOM","","","","","","","","",""
"    Occupied housing units","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        1.00 or less","94.6%","94.6%","","94.7%","","94.8%","","(X)",""
"        1.01 to 1.50","3.1%","3.0%","","3.0%","","3.0%","","(X)",""
"        1.51 or more","2.2%","2.4%","","2.3%","","2.2%","","(X)",""
"VALUE","","","","","","","","",""
"    Owner-occupied units","4,252,571","4,221,669","","4,204,337","*","4,239,037","","(X)",""
"        Less than $50,000","3.9%","4.2%","*","4.1%","*","4.0%","","(X)",""
"        $50,000 to $99,999","4.8%","5.6%","*","5.8%","*","5.9%","*","(X)",""
"        $100,000 to $149,999","5.7%","6.8%","*","6.4%","*","7.3%","*","(X)",""
"        $150,000 to $199,999","7.3%","7.9%","*","8.8%","*","8.3%","*","(X)",""
"        $200,000 to $299,999","13.4%","13.2%","","13.2%","","14.2%","*","(X)",""
"        $300,000 to $499,999","19.4%","19.1%","","19.9%","*","18.7%","*","(X)",""
"        $500,000 to $999,999","32.1%","30.9%","*","29.8%","*","29.1%","*","(X)",""
"        $1,000,000 or more","13.4%","12.3%","*","12.1%","*","12.4%","*","(X)",""
"        Median (dollars)","449,800","432,500","*","429,200","*","427,300","*","(X)",""
"MORTGAGE STATUS","","","","","","","","",""
"    Owner-occupied units","4,252,571","4,221,669","","4,204,337","*","4,239,037","","(X)",""
"        Housing units with a mortgage","56.8%","57.4%","*","58.3%","*","58.2%","*","(X)",""
"        Housing units without a mortgage","43.2%","42.6%","*","41.7%","*","41.8%","*","(X)",""
"SELECTED MONTHLY OWNER COSTS (SMOC)","","","","","","","","",""
"    Housing units with a mortgage","2,416,320","2,423,622","","2,450,786","*","2,468,659","*","(X)",""
"        Less than $500","0.6%","0.7%","*","0.6%","","0.5%","","(X)",""
"        $500 to $999","6.1%","6.5%","*","6.7%","*","6.6%","*","(X)",""
"        $1,000 to $1,499","14.1%","14.5%","","14.5%","","15.0%","*","(X)",""
"        $1,500 to $1,999","14.9%","15.6%","*","15.0%","","14.6%","","(X)",""
"        $2,000 to $2,499","13.4%","12.7%","*","12.9%","","12.2%","*","(X)",""
"        $2,500 to $2,999","11.7%","11.4%","","11.4%","","11.1%","*","(X)",""
"        $3,000 or more","39.3%","38.6%","","38.9%","","40.0%","*","(X)",""
"        Median (dollars)","2,544","2,501","*","2,524","","2,548","","(X)",""
"    Housing units without a mortgage","1,836,251","1,798,047","*","1,753,551","*","1,770,378","*","(X)",""
"        Less than $250","4.6%","5.2%","*","5.2%","*","5.5%","*","(X)",""
"        $250 to $399","6.5%","6.9%","","7.3%","*","7.0%","*","(X)",""
"        $400 to $599","13.8%","13.8%","","14.0%","","14.4%","*","(X)",""
"        $600 to $799","14.3%","14.6%","","14.3%","","14.4%","","(X)",""
"        $800 to $999","12.1%","12.5%","","12.4%","","12.2%","","(X)",""
"        $1,000 or more","48.8%","47.0%","*","46.9%","*","46.5%","*","(X)",""
"        Median (dollars)","980","950","*","950","*","942","*","(X)",""
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","","","","","","","","",""
"    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","2,404,483","2,411,699","","2,438,822","*","2,454,677","*","(X)",""
"        Less than 20.0 percent","42.8%","43.2%","","42.3%","","42.9%","","(X)",""
"        20.0 to 24.9 percent","13.9%","13.6%","","14.4%","","14.4%","","(X)",""
"        25.0 to 29.9 percent","9.7%","9.4%","","10.0%","","9.7%","","(X)",""
"        30.0 to 34.9 percent","6.9%","7.3%","","7.0%","","6.7%","","(X)",""
"        35.0 percent or more","26.7%","26.5%","","26.3%","","26.2%","","(X)",""
"        Not computed","11,837","11,923","","11,964","","13,982","","(X)",""
"    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","1,809,663","1,775,472","*","1,728,639","*","1,746,985","*","(X)",""
"        Less than 10.0 percent","36.2%","36.2%","","36.2%","","37.1%","*","(X)",""
"        10.0 to 14.9 percent","19.6%","18.8%","*","18.9%","","19.1%","","(X)",""
"        15.0 to 19.9 percent","11.7%","11.8%","","11.3%","","11.8%","","(X)",""
"        20.0 to 24.9 percent","7.3%","7.7%","","7.9%","*","7.1%","","(X)",""
"        25.0 to 29.9 percent","5.1%","4.9%","","5.1%","","5.2%","","(X)",""
"        30.0 to 34.9 percent","3.6%","3.6%","","3.4%","","3.5%","","(X)",""
"        35.0 percent or more","16.6%","16.9%","","17.1%","","16.2%","","(X)",""
"        Not computed","26,588","22,575","*","24,912","","23,393","","(X)",""
"GROSS RENT","","","","","","","","",""
"    Occupied units paying rent","3,449,080","3,472,260","","3,446,021","","3,303,566","*","(X)",""
"        Less than $500","7.7%","8.0%","","8.2%","*","7.8%","","(X)",""
"        $500 to $999","14.7%","15.2%","","15.5%","*","15.0%","","(X)",""
"        $1,000 to $1,499","22.2%","23.0%","*","22.0%","","21.9%","","(X)",""
"        $1,500 to $1,999","20.1%","19.3%","*","20.5%","","20.5%","","(X)",""
"        $2,000 to $2,499","13.4%","13.6%","","14.5%","*","15.0%","*","(X)",""
"        $2,500 to $2,999","7.9%","7.3%","*","6.8%","*","7.7%","","(X)",""
"        $3,000 or more","14.0%","13.6%","","12.5%","*","12.1%","*","(X)",""
"        Median (dollars)","1,634","1,607","*","1,607","*","1,632","","(X)",""
"        No rent paid","126,423","115,338","*","123,950","","110,063","*","(X)",""
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","","","","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","3,368,930","3,389,341","","3,362,842","","3,224,273","*","(X)",""
"        Less than 15.0 percent","14.1%","14.2%","","14.1%","","13.5%","*","(X)",""
"        15.0 to 19.9 percent","11.8%","12.0%","","11.4%","","11.2%","*","(X)",""
"        20.0 to 24.9 percent","11.6%","11.8%","","11.3%","","11.6%","","(X)",""
"        25.0 to 29.9 percent","11.0%","10.7%","","10.8%","","10.4%","*","(X)",""
"        30.0 to 34.9 percent","8.7%","8.9%","","8.6%","","9.3%","*","(X)",""
"        35.0 percent or more","42.8%","42.5%","","43.8%","*","44.0%","*","(X)",""
"        Not computed","206,573","198,257","","207,129","","189,356","*","(X)",""
