"Label (Grouping)","New York!!2024 Estimate","New York!!2023 Estimate","New York!!2024 - 2023 Statistical Significance","New York!!2022 Estimate","New York!!2024 - 2022 Statistical Significance","New York!!2021 Estimate","New York!!2024 - 2021 Statistical Significance","New York!!2020 Estimate","New York!!2024 - 2020 Statistical Significance"
"    Foreign-born population","4,621,382","4,517,996","*","4,459,752","*","4,427,356","*","(X)",""
"        Naturalized U.S. citizen","59.4%","59.5%","","60.8%","*","60.3%","*","(X)",""
"        Not a U.S. citizen","40.6%","40.5%","","39.2%","*","39.7%","*","(X)",""
"YEAR OF ENTRY","","","","","","","","",""
"    Population born outside the United States","5,135,642","4,995,960","*","4,971,274","*","4,930,988","*","(X)",""
"        Native","514,260","477,964","*","511,522","","503,632","","(X)",""
"            Entered 2010 or later","33.3%","32.1%","","29.3%","*","27.3%","*","(X)",""
"            Entered before 2010","66.7%","67.9%","","70.7%","*","72.7%","*","(X)",""
"        Foreign-born","4,621,382","4,517,996","*","4,459,752","*","4,427,356","*","(X)",""
"            Entered 2010 or later","33.6%","31.9%","*","28.4%","*","25.7%","*","(X)",""
"            Entered before 2010","66.4%","68.1%","*","71.6%","*","74.3%","*","(X)",""
"WORLD REGION OF BIRTH OF FOREIGN-BORN","","","","","","","","",""
"    Foreign-born population, excluding population born at sea","4,621,382","4,517,943","*","4,459,752","*","4,427,154","*","(X)",""
"        Europe","14.4%","14.9%","*","14.7%","","15.8%","*","(X)",""
"        Asia","30.3%","29.4%","*","29.8%","","29.1%","*","(X)",""
"        Africa","5.2%","4.9%","","5.4%","","4.6%","*","(X)",""
"        Oceania","0.3%","0.4%","","0.3%","","0.3%","","(X)",""
"        Latin America","48.5%","49.1%","","48.4%","","48.8%","","(X)",""
"        Northern America","1.3%","1.3%","","1.3%","","1.2%","","(X)",""
"LANGUAGE SPOKEN AT HOME","","","","","","","","",""
"    Population 5 years and over","18,828,181","18,535,508","*","18,621,696","*","18,743,215","*","(X)",""
"        English only","68.4%","69.0%","*","69.3%","*","70.0%","*","(X)",""
"        Language other than English","31.6%","31.0%","*","30.7%","*","30.0%","*","(X)",""
"            Speak English less than ""very well""","14.4%","13.8%","*","13.5%","*","13.0%","*","(X)",""
"        Spanish","15.0%","14.8%","*","14.6%","*","14.4%","*","(X)",""
"            Speak English less than ""very well""","6.9%","6.8%","","6.6%","*","6.2%","*","(X)",""
"        Other Indo-European languages","9.2%","9.1%","","8.8%","*","8.8%","*","(X)",""
"            Speak English less than ""very well""","3.8%","3.6%","*","3.4%","*","3.5%","*","(X)",""
"        Asian and Pacific Islander languages","5.4%","5.1%","*","5.3%","","5.0%","*","(X)",""
"            Speak English less than ""very well""","3.0%","2.8%","*","2.9%","","2.7%","*","(X)",""
"        Other languages","2.0%","2.0%","","2.0%","","1.8%","*","(X)",""
"            Speak English less than ""very well""","0.7%","0.6%","","0.6%","*","0.5%","*","(X)",""
"ANCESTRY","","","","","","","","",""
"    Total population","19,867,248","19,571,216","c","19,677,151","c","19,835,913","c","(X)",""
"        American","4.0%","4.2%","*","4.2%","*","4.1%","","(X)",""
"        Arab","1.0%","1.0%","","1.0%","","0.9%","","(X)",""
"        Czech","0.2%","0.2%","","0.2%","","0.2%","","(X)",""
"        Danish","0.1%","0.1%","","0.2%","","0.1%","","(X)",""
"        Dutch","0.8%","0.8%","","0.8%","","0.8%","","(X)",""
"        English","5.4%","5.4%","","5.6%","","5.7%","*","(X)",""
"        French (except Basque)","1.5%","1.6%","","1.5%","","1.6%","","(X)",""
"        French Canadian","0.5%","0.4%","","0.5%","","0.5%","","(X)",""
"        German","8.2%","8.6%","*","8.6%","*","8.7%","*","(X)",""
"        Greek","0.7%","0.7%","","0.7%","","0.7%","","(X)",""
"        Hungarian","0.8%","0.7%","","0.7%","*","0.8%","","(X)",""
"        Irish","10.7%","10.4%","*","10.3%","*","10.6%","","(X)",""
"        Italian","10.6%","10.8%","","10.9%","*","10.9%","*","(X)",""
"        Lithuanian","0.2%","0.2%","","0.2%","","0.2%","","(X)",""
"        Norwegian","0.4%","0.4%","","0.4%","","0.4%","","(X)",""
"        Polish","3.8%","3.8%","","3.8%","","4.0%","*","(X)",""
"        Portuguese","0.2%","0.3%","","0.2%","","0.2%","","(X)",""
"        Russian","1.3%","1.4%","","1.4%","","1.7%","*","(X)",""
"        Scotch-Irish","0.3%","0.3%","","0.3%","","0.3%","","(X)",""
"        Scottish","1.2%","0.9%","*","0.9%","*","0.9%","*","(X)",""
"        Slovak","0.1%","0.1%","","0.1%","","0.1%","","(X)",""
"        Subsaharan African","1.6%","1.5%","*","1.5%","","1.3%","*","(X)",""
"        Swedish","0.5%","0.5%","","0.5%","","0.5%","","(X)",""
"        Swiss","0.1%","0.1%","","0.2%","","0.2%","","(X)",""
"        Ukrainian","0.8%","0.8%","","0.8%","","0.7%","*","(X)",""
"        Welsh","0.3%","0.3%","","0.3%","","0.3%","","(X)",""
"        West Indian (excluding Hispanic origin groups)","3.8%","3.8%","","3.7%","","3.8%","","(X)",""
"COMPUTERS AND INTERNET USE","","","","","","","","",""
"    Total households","7,828,074","7,809,267","","7,774,308","*","7,652,666","*","(X)",""
"        With a computer","95.9%","95.4%","*","94.8%","*","94.3%","*","(X)",""
"        With a broadband Internet subscription","93.1%","92.0%","*","90.4%","*","90.4%","*","(X)",""
