"Label (Grouping)","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error"
"    Occupied units paying rent","3,406,652","±12,095","3,406,652","(X)"
"        Less than $500","266,332","±4,299","7.8%","±0.1"
"        $500 to $999","516,148","±6,211","15.2%","±0.2"
"        $1,000 to $1,499","757,333","±8,204","22.2%","±0.2"
"        $1,500 to $1,999","673,641","±7,414","19.8%","±0.2"
"        $2,000 to $2,499","486,001","±6,472","14.3%","±0.2"
"        $2,500 to $2,999","258,068","±4,008","7.6%","±0.1"
"        $3,000 or more","449,129","±5,476","13.2%","±0.2"
"        Median (dollars)","1,621","±7","(X)","(X)"
"        No rent paid","119,009","±2,733","(X)","(X)"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","","","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","3,327,305","±12,361","3,327,305","(X)"
"        Less than 15.0 percent","466,712","±6,408","14.0%","±0.2"
"        15.0 to 19.9 percent","388,935","±5,142","11.7%","±0.2"
"        20.0 to 24.9 percent","382,112","±5,945","11.5%","±0.2"
"        25.0 to 29.9 percent","356,341","±5,536","10.7%","±0.2"
"        30.0 to 34.9 percent","300,036","±5,163","9.0%","±0.2"
"        35.0 percent or more","1,433,169","±12,461","43.1%","±0.3"
"        Not computed","198,356","±3,987","(X)","(X)"
